--------- beginning of /dev/log/system
01-01 07:15:52.880 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 07:15:52.970 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 07:15:53.020 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 07:15:53.020 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 07:15:57.840 D/VoldCmdListener(   75): volume list
01-01 07:15:57.850 D/VoldCmdListener(   75): volume mount sdcard
01-01 07:15:57.850 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 07:15:57.850 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 07:15:57.850 W/Vold    (   75): Skipping fs checks
01-01 07:15:57.890 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 07:15:57.900 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 32
01-01 07:16:09.400 D/SPRDENG (  159): 32
01-01 07:16:09.400 D/SPRDENG (  159): 38
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 35
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 32
01-01 07:16:09.400 D/SPRDENG (  159): 33
01-01 07:16:09.400 D/SPRDENG (  159): 64
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 35
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 32
01-01 07:16:09.400 D/SPRDENG (  159): 32
01-01 07:16:09.400 D/SPRDENG (  159): 30
01-01 07:16:09.400 D/SPRDENG (  159): 30
