--------- beginning of /dev/log/system
01-01 06:46:13.870 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 06:46:13.870 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 06:46:13.910 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 06:46:13.920 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 06:46:18.950 D/VoldCmdListener(   75): volume list
01-01 06:46:18.960 D/VoldCmdListener(   75): volume mount sdcard
01-01 06:46:18.960 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 06:46:18.960 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 06:46:18.960 W/Vold    (   75): Skipping fs checks
01-01 06:46:19.010 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 06:46:19.020 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
01-01 06:46:30.460 D/SPRDENG (  154): 30
