--------- beginning of /dev/log/system
01-01 03:39:14.750 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 03:39:14.750 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 03:39:14.800 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 03:39:14.800 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 03:39:19.900 D/VoldCmdListener(   75): volume list
01-01 03:39:19.910 D/VoldCmdListener(   75): volume mount sdcard
01-01 03:39:19.910 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 03:39:19.910 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 03:39:19.910 W/Vold    (   75): Skipping fs checks
01-01 03:39:19.960 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 03:39:19.970 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 38
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 35
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 33
01-01 03:39:31.710 D/SPRDENG (  165): 64
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 35
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 35
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 34
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 35
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 38
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 35
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 31
01-01 03:39:31.710 D/SPRDENG (  165): 63
01-01 03:39:31.710 D/SPRDENG (  165): 31
01-01 03:39:31.710 D/SPRDENG (  165): 63
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 31
01-01 03:39:31.710 D/SPRDENG (  165): 63
01-01 03:39:31.710 D/SPRDENG (  165): 31
01-01 03:39:31.710 D/SPRDENG (  165): 63
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 34
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 32
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
01-01 03:39:31.710 D/SPRDENG (  165): 30
