--------- beginning of /dev/log/system
01-01 04:34:32.850 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 04:34:32.890 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 04:34:32.970 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 04:34:32.970 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 04:34:37.980 D/VoldCmdListener(   75): volume list
01-01 04:34:37.990 D/VoldCmdListener(   75): volume mount sdcard
01-01 04:34:37.990 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 04:34:37.990 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 04:34:37.990 W/Vold    (   75): Skipping fs checks
01-01 04:34:38.040 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 04:34:38.040 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 62
01-01 04:34:49.960 D/SPRDENG (  155): 62
01-01 04:34:49.960 D/SPRDENG (  155): 62
01-01 04:34:49.960 D/SPRDENG (  155): 65
01-01 04:34:49.960 D/SPRDENG (  155): 63
01-01 04:34:49.960 D/SPRDENG (  155): 32
01-01 04:34:49.960 D/SPRDENG (  155): 63
01-01 04:34:49.960 D/SPRDENG (  155): 36
01-01 04:34:49.960 D/SPRDENG (  155): 31
01-01 04:34:49.960 D/SPRDENG (  155): 61
01-01 04:34:49.960 D/SPRDENG (  155): 32
01-01 04:34:49.960 D/SPRDENG (  155): 33
01-01 04:34:49.960 D/SPRDENG (  155): 31
01-01 04:34:49.960 D/SPRDENG (  155): 63
01-01 04:34:49.960 D/SPRDENG (  155): 32
01-01 04:34:49.960 D/SPRDENG (  155): 33
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 30
01-01 04:34:49.960 D/SPRDENG (  155): 31
